Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Road_Density_Index_1to10,Approx_Road_Network_Length_km,Drainage_Index_1to10,Drainage_System_Type,Storm_Drain_Coverage_Percent,Month,Season,Drain_Load_Utilization_Percent,Silt_Accumulation_Level,Reported_Road_Waterlogging_Incidents
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2025-09,Monsoon (retreating),84.8,Moderate,2
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2025-10,Post-Monsoon,56.1,Moderate,0
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2025-11,Post-Monsoon,38.3,High,0
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2025-12,Winter,34.9,High,0
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2026-01,Winter,36.6,High,0
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2026-02,Winter,38.4,Very High,0
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2026-03,Pre-Monsoon,40,Very High,0
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2026-04,Pre-Monsoon,41.8,Very High,0
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2026-05,Pre-Monsoon,57.2,High,0
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2026-06,Monsoon,86.1,Low,2
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2026-07,Monsoon,97,Moderate,3
1,Behala,South West,KMC,22.4989,88.3145,6,71.5,4,"Colonial-era combined sewer/stormwater, pump-assisted",42,2026-08,Monsoon,97.3,Moderate,3
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2025-09,Monsoon (retreating),76.5,Moderate,1
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2025-10,Post-Monsoon,53.5,Moderate,0
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2025-11,Post-Monsoon,34.4,High,0
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2025-12,Winter,30.9,High,0
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2026-01,Winter,32.3,High,0
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2026-02,Winter,34.1,Very High,0
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2026-03,Pre-Monsoon,36.1,Very High,0
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2026-04,Pre-Monsoon,37.5,Very High,0
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2026-05,Pre-Monsoon,49.7,High,0
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2026-06,Monsoon,84.2,Low,1
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2026-07,Monsoon,83.1,Moderate,1
2,Tollygunge,South,KMC,22.5039,88.3423,7,60,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2026-08,Monsoon,89.3,Moderate,2
3,Jadavpur,South,KMC,22.4994,88.3714,7,66,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2025-09,Monsoon (retreating),79.4,Moderate,1
3,Jadavpur,South,KMC,22.4994,88.3714,7,66,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2025-10,Post-Monsoon,54.2,Moderate,0
3,Jadavpur,South,KMC,22.4994,88.3714,7,66,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2025-11,Post-Monsoon,33.8,High,0
3,Jadavpur,South,KMC,22.4994,88.3714,7,66,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2025-12,Winter,31,High,0
3,Jadavpur,South,KMC,22.4994,88.3714,7,66,6,"Colonial-era combined sewer/stormwater, pump-assisted",55,2026-01,Winter,32.3,High,0
